Pavarde        Vardas         ND1  ND2  ND3  ND4  ND5  EGZ     
Vardas2545     Pavarde2545    1    7    3    1    7    1       
Vardas2546     Pavarde2546    10   7    6    10   3    8       
Vardas2547     Pavarde2547    7    10   6    10   7    1       
Vardas2548     Pavarde2548    9    2    1    10   7    4       
Vardas2549     Pavarde2549    8    10   2    7    2    5       
Vardas2550     Pavarde2550    1    3    8    9    5    5       
Vardas2551     Pavarde2551    10   7    7    8    3    9       
Vardas2552     Pavarde2552    8    3    4    10   5    1       
Vardas2553     Pavarde2553    1    1    9    5    3    1       
Vardas2554     Pavarde2554    1    8    1    4    2    8       
Vardas2555     Pavarde2555    2    7    5    8    7    3       
Vardas2556     Pavarde2556    6    9    8    1    8    4       
Vardas2557     Pavarde2557    10   2    10   2    1    9       
Vardas2558     Pavarde2558    9    1    8    3    1    1       
Vardas2559     Pavarde2559    5    4    5    1    1    6       
Vardas2560     Pavarde2560    8    2    9    7    9    1       
Vardas2561     Pavarde2561    8    1    8    2    3    7       
Vardas2562     Pavarde2562    7    6    4    3    9    4       
Vardas2563     Pavarde2563    3    7    5    4    2    2       
Vardas2564     Pavarde2564    5    9    1    9    6    7       
Vardas2565     Pavarde2565    5    7    2    10   10   1       
Vardas2566     Pavarde2566    7    2    8    2    3    8       
Vardas2567     Pavarde2567    8    3    3    5    4    7       
Vardas2568     Pavarde2568    2    3    6    9    9    1       
Vardas2569     Pavarde2569    9    3    2    6    7    2       
Vardas2570     Pavarde2570    2    1    7    5    7    8       
Vardas2571     Pavarde2571    6    5    9    9    2    10      
Vardas2572     Pavarde2572    4    10   8    9    4    10      
Vardas2573     Pavarde2573    7    2    5    1    7    7       
Vardas2574     Pavarde2574    8    1    8    8    4    5       
Vardas2575     Pavarde2575    3    3    7    6    4    6       
Vardas2576     Pavarde2576    7    9    10   10   6    7       
Vardas2577     Pavarde2577    9    10   4    2    4    5       
Vardas2578     Pavarde2578    6    10   7    3    4    7       
Vardas2579     Pavarde2579    3    2    8    9    8    2       
Vardas2580     Pavarde2580    7    6    2    10   4    9       
Vardas2581     Pavarde2581    9    10   3    5    8    10      
Vardas2582     Pavarde2582    9    8    1    2    7    7       
Vardas2583     Pavarde2583    6    5    8    5    4    4       
Vardas2584     Pavarde2584    10   10   4    4    5    2       
Vardas2585     Pavarde2585    4    3    8    6    2    1       
Vardas2586     Pavarde2586    1    9    8    5    1    6       
Vardas2587     Pavarde2587    6    9    3    3    4    10      
Vardas2588     Pavarde2588    7    2    9    9    10   8       
Vardas2589     Pavarde2589    10   1    9    8    1    9       
Vardas2590     Pavarde2590    8    10   10   5    4    3       
Vardas2591     Pavarde2591    8    3    2    9    9    7       
Vardas2592     Pavarde2592    5    3    2    9    7    9       
Vardas2593     Pavarde2593    6    8    10   2    10   7       
Vardas2594     Pavarde2594    9    7    9    1    8    9       
Vardas2595     Pavarde2595    3    1    5    8    10   10      
Vardas2596     Pavarde2596    1    8    3    6    2    6       
Vardas2597     Pavarde2597    3    6    6    7    4    6       
Vardas2598     Pavarde2598    6    9    7    8    6    2       
Vardas2599     Pavarde2599    1    2    7    10   1    5       
Vardas2600     Pavarde2600    3    10   6    10   3    8       
Vardas2601     Pavarde2601    1    1    9    3    10   5       
Vardas2602     Pavarde2602    7    5    7    8    6    3       
Vardas2603     Pavarde2603    4    10   5    8    1    1       
Vardas2604     Pavarde2604    4    4    1    6    10   4       
Vardas2605     Pavarde2605    5    1    2    5    1    4       
Vardas2606     Pavarde2606    10   5    2    4    10   5       
Vardas2607     Pavarde2607    9    9    5    9    5    1       
Vardas2608     Pavarde2608    1    2    8    5    3    5       
Vardas2609     Pavarde2609    5    1    5    1    10   5       
Vardas2610     Pavarde2610    1    6    6    6    2    9       
Vardas2611     Pavarde2611    3    3    6    9    8    10      
Vardas2612     Pavarde2612    6    9    4    4    1    10      
Vardas2613     Pavarde2613    8    2    4    8    2    4       
Vardas2614     Pavarde2614    7    3    8    2    9    2       
Vardas2615     Pavarde2615    5    5    8    10   9    10      
Vardas2616     Pavarde2616    3    7    8    10   10   5       
Vardas2617     Pavarde2617    3    2    2    7    5    2       
Vardas2618     Pavarde2618    1    1    7    1    7    7       
Vardas2619     Pavarde2619    2    3    1    4    3    1       
Vardas2620     Pavarde2620    8    10   7    6    1    4       
Vardas2621     Pavarde2621    10   1    9    10   7    5       
Vardas2622     Pavarde2622    8    4    5    4    9    10      
Vardas2623     Pavarde2623    10   4    6    3    1    9       
Vardas2624     Pavarde2624    6    6    3    8    9    3       
Vardas2625     Pavarde2625    2    6    9    3    10   2       
Vardas2626     Pavarde2626    1    7    6    5    4    9       
Vardas2627     Pavarde2627    1    8    6    4    8    2       
Vardas2628     Pavarde2628    5    2    3    1    10   3       
Vardas2629     Pavarde2629    2    9    6    5    10   7       
Vardas2630     Pavarde2630    5    1    5    8    10   1       
Vardas2631     Pavarde2631    5    3    1    3    7    10      
Vardas2632     Pavarde2632    3    8    6    3    7    5       
Vardas2633     Pavarde2633    2    8    8    2    1    1       
Vardas2634     Pavarde2634    3    2    10   8    6    1       
Vardas2635     Pavarde2635    8    2    4    3    1    6       
Vardas2636     Pavarde2636    7    10   4    6    2    9       
Vardas2637     Pavarde2637    6    8    7    2    10   10      
Vardas2638     Pavarde2638    4    2    9    10   10   2       
Vardas2639     Pavarde2639    1    7    4    7    8    7       
Vardas2640     Pavarde2640    4    1    9    1    3    8       
Vardas2641     Pavarde2641    5    2    5    8    8    7       
Vardas2642     Pavarde2642    5    9    6    9    4    3       
Vardas2643     Pavarde2643    2    5    10   3    3    10      
Vardas2644     Pavarde2644    6    7    6    9    7    7       
Vardas2645     Pavarde2645    3    8    4    1    5    2       
Vardas2646     Pavarde2646    6    1    2    1    4    10      
Vardas2647     Pavarde2647    6    2    1    3    7    9       
Vardas2648     Pavarde2648    6    8    1    4    3    7       
Vardas2649     Pavarde2649    10   2    9    8    8    5       
Vardas2650     Pavarde2650    4    6    6    8    4    5       
Vardas2651     Pavarde2651    1    3    9    5    9    1       
Vardas2652     Pavarde2652    8    2    2    9    3    4       
Vardas2653     Pavarde2653    10   10   2    7    8    7       
Vardas2654     Pavarde2654    3    7    6    3    1    8       
Vardas2655     Pavarde2655    7    7    6    9    7    8       
Vardas2656     Pavarde2656    4    10   2    8    2    5       
Vardas2657     Pavarde2657    2    7    10   3    1    4       
Vardas2658     Pavarde2658    4    9    5    1    4    9       
Vardas2659     Pavarde2659    3    1    4    8    6    1       
Vardas2660     Pavarde2660    8    6    2    5    8    1       
Vardas2661     Pavarde2661    3    2    10   6    2    10      
Vardas2662     Pavarde2662    4    5    3    9    3    1       
Vardas2663     Pavarde2663    4    3    7    10   5    6       
Vardas2664     Pavarde2664    8    7    10   8    8    9       
Vardas2665     Pavarde2665    3    6    6    8    6    5       
Vardas2666     Pavarde2666    2    5    9    1    2    6       
Vardas2667     Pavarde2667    6    9    1    4    9    6       
Vardas2668     Pavarde2668    9    6    1    4    6    1       
Vardas2669     Pavarde2669    3    1    1    10   5    1       
Vardas2670     Pavarde2670    4    7    10   8    10   5       
Vardas2671     Pavarde2671    4    3    2    2    9    3       
Vardas2672     Pavarde2672    6    1    7    4    3    4       
Vardas2673     Pavarde2673    1    3    6    9    7    3       
Vardas2674     Pavarde2674    3    3    5    2    1    5       
Vardas2675     Pavarde2675    4    5    8    3    3    3       
Vardas2676     Pavarde2676    8    9    7    5    2    5       
Vardas2677     Pavarde2677    3    4    6    1    3    4       
Vardas2678     Pavarde2678    1    3    1    1    4    1       
Vardas2679     Pavarde2679    9    5    2    8    4    3       
Vardas2680     Pavarde2680    10   2    7    3    2    6       
Vardas2681     Pavarde2681    4    3    6    5    1    8       
Vardas2682     Pavarde2682    6    5    4    3    8    8       
Vardas2683     Pavarde2683    9    6    10   4    6    5       
Vardas2684     Pavarde2684    8    10   9    6    8    3       
Vardas2685     Pavarde2685    1    9    1    2    8    4       
Vardas2686     Pavarde2686    8    8    2    2    1    3       
Vardas2687     Pavarde2687    6    6    5    9    3    8       
Vardas2688     Pavarde2688    1    6    4    9    4    2       
Vardas2689     Pavarde2689    2    3    4    4    8    3       
Vardas2690     Pavarde2690    4    1    10   5    7    6       
Vardas2691     Pavarde2691    5    8    7    10   4    2       
Vardas2692     Pavarde2692    1    4    5    9    6    8       
Vardas2693     Pavarde2693    7    2    6    7    6    9       
Vardas2694     Pavarde2694    5    3    6    4    8    2       
Vardas2695     Pavarde2695    10   3    9    7    2    1       
Vardas2696     Pavarde2696    8    3    2    4    7    5       
Vardas2697     Pavarde2697    8    2    3    7    9    9       
Vardas2698     Pavarde2698    7    8    6    9    5    2       
Vardas2699     Pavarde2699    8    7    4    6    7    8       
Vardas2700     Pavarde2700    3    6    10   8    2    10      
Vardas2701     Pavarde2701    5    2    10   2    8    3       
Vardas2702     Pavarde2702    10   4    3    8    8    10      
Vardas2703     Pavarde2703    10   2    10   6    6    4       
Vardas2704     Pavarde2704    4    4    9    9    3    5       
Vardas2705     Pavarde2705    3    2    7    7    1    10      
Vardas2706     Pavarde2706    4    3    8    2    5    2       
Vardas2707     Pavarde2707    2    3    1    4    2    6       
Vardas2708     Pavarde2708    9    7    7    6    8    9       
Vardas2709     Pavarde2709    9    1    10   1    3    10      
Vardas2710     Pavarde2710    8    3    5    4    3    6       
Vardas2711     Pavarde2711    5    8    8    5    2    1       
Vardas2712     Pavarde2712    7    8    3    3    3    8       
Vardas2713     Pavarde2713    5    6    10   3    1    5       
Vardas2714     Pavarde2714    3    8    3    10   1    10      
Vardas2715     Pavarde2715    4    4    1    6    6    7       
Vardas2716     Pavarde2716    3    8    4    9    9    10      
Vardas2717     Pavarde2717    1    5    7    7    3    5       
Vardas2718     Pavarde2718    2    1    7    8    5    4       
Vardas2719     Pavarde2719    10   4    9    2    10   9       
Vardas2720     Pavarde2720    9    3    5    6    9    3       
Vardas2721     Pavarde2721    1    6    5    4    1    3       
Vardas2722     Pavarde2722    4    9    4    6    4    10      
Vardas2723     Pavarde2723    2    3    2    1    1    6       
Vardas2724     Pavarde2724    10   1    2    1    1    10      
Vardas2725     Pavarde2725    4    2    4    2    5    9       
Vardas2726     Pavarde2726    6    9    6    1    4    7       
Vardas2727     Pavarde2727    8    9    3    7    10   4       
Vardas2728     Pavarde2728    8    7    7    1    2    3       
Vardas2729     Pavarde2729    3    2    7    5    8    7       
Vardas2730     Pavarde2730    5    5    1    8    3    9       
Vardas2731     Pavarde2731    1    5    10   1    5    9       
Vardas2732     Pavarde2732    4    6    9    7    10   3       
Vardas2733     Pavarde2733    3    5    9    7    1    8       
Vardas2734     Pavarde2734    4    3    10   1    2    9       
Vardas2735     Pavarde2735    5    10   1    9    1    2       
Vardas2736     Pavarde2736    3    3    8    1    3    10      
Vardas2737     Pavarde2737    1    2    2    3    2    9       
Vardas2738     Pavarde2738    2    8    7    10   7    3       
Vardas2739     Pavarde2739    9    6    4    5    1    7       
Vardas2740     Pavarde2740    1    4    8    3    6    1       
Vardas2741     Pavarde2741    7    2    10   10   10   1       
Vardas2742     Pavarde2742    7    6    1    3    6    5       
Vardas2743     Pavarde2743    10   1    7    3    6    9       
Vardas2744     Pavarde2744    1    6    7    10   4    10      
Vardas2745     Pavarde2745    10   3    7    3    8    6       
Vardas2746     Pavarde2746    7    10   2    3    6    3       
Vardas2747     Pavarde2747    7    4    3    4    3    2       
Vardas2748     Pavarde2748    6    1    6    7    5    5       
Vardas2749     Pavarde2749    2    7    4    5    5    10      
Vardas2750     Pavarde2750    3    3    4    5    9    5       
Vardas2751     Pavarde2751    7    6    10   5    7    5       
Vardas2752     Pavarde2752    7    6    6    8    2    2       
Vardas2753     Pavarde2753    2    10   9    6    8    5       
Vardas2754     Pavarde2754    1    4    9    1    6    9       
Vardas2755     Pavarde2755    1    7    2    4    9    6       
Vardas2756     Pavarde2756    1    7    1    3    9    3       
Vardas2757     Pavarde2757    8    8    2    8    6    6       
Vardas2758     Pavarde2758    7    8    9    10   5    9       
Vardas2759     Pavarde2759    2    5    5    5    7    2       
Vardas2760     Pavarde2760    9    1    8    5    1    1       
Vardas2761     Pavarde2761    10   8    1    1    7    2       
Vardas2762     Pavarde2762    8    1    3    4    10   10      
Vardas2763     Pavarde2763    1    1    10   3    6    3       
Vardas2764     Pavarde2764    10   1    6    4    6    4       
Vardas2765     Pavarde2765    2    9    5    2    1    4       
Vardas2766     Pavarde2766    4    9    8    8    4    10      
Vardas2767     Pavarde2767    10   3    7    2    7    5       
Vardas2768     Pavarde2768    1    1    10   4    5    4       
Vardas2769     Pavarde2769    4    8    9    1    1    8       
Vardas2770     Pavarde2770    6    7    10   4    3    2       
Vardas2771     Pavarde2771    9    7    9    2    3    6       
Vardas2772     Pavarde2772    2    1    10   5    5    3       
Vardas2773     Pavarde2773    7    10   3    2    6    2       
Vardas2774     Pavarde2774    5    10   4    9    6    9       
Vardas2775     Pavarde2775    7    8    9    7    5    6       
Vardas2776     Pavarde2776    1    4    5    3    5    9       
Vardas2777     Pavarde2777    4    5    5    3    8    10      
Vardas2778     Pavarde2778    3    7    8    1    10   6       
Vardas2779     Pavarde2779    5    3    4    8    2    5       
Vardas2780     Pavarde2780    5    8    2    1    8    7       
Vardas2781     Pavarde2781    5    6    7    6    9    4       
Vardas2782     Pavarde2782    1    7    3    1    6    5       
Vardas2783     Pavarde2783    9    2    1    6    2    1       
Vardas2784     Pavarde2784    7    2    4    4    2    6       
Vardas2785     Pavarde2785    9    4    5    8    3    9       
Vardas2786     Pavarde2786    3    1    10   2    4    8       
Vardas2787     Pavarde2787    1    3    8    9    5    9       
Vardas2788     Pavarde2788    1    2    1    7    9    1       
Vardas2789     Pavarde2789    9    5    10   6    3    6       
Vardas2790     Pavarde2790    8    4    7    1    8    2       
Vardas2791     Pavarde2791    5    6    6    5    7    7       
Vardas2792     Pavarde2792    7    5    9    10   1    4       
Vardas2793     Pavarde2793    1    5    10   7    3    7       
Vardas2794     Pavarde2794    6    5    9    7    5    3       
Vardas2795     Pavarde2795    7    1    4    3    1    4       
Vardas2796     Pavarde2796    1    6    6    9    4    6       
Vardas2797     Pavarde2797    1    7    8    8    7    3       
Vardas2798     Pavarde2798    3    1    1    9    10   4       
Vardas2799     Pavarde2799    10   7    4    5    4    1       
Vardas2800     Pavarde2800    7    3    1    4    5    1       
Vardas2801     Pavarde2801    6    6    10   1    8    9       
Vardas2802     Pavarde2802    10   10   5    2    5    9       
Vardas2803     Pavarde2803    6    8    3    7    8    1       
Vardas2804     Pavarde2804    1    8    6    8    5    2       
Vardas2805     Pavarde2805    10   9    6    4    5    7       
Vardas2806     Pavarde2806    7    3    6    4    5    4       
Vardas2807     Pavarde2807    10   10   5    4    3    4       
Vardas2808     Pavarde2808    7    5    3    5    10   9       
Vardas2809     Pavarde2809    1    3    10   4    2    10      
Vardas2810     Pavarde2810    10   3    7    7    3    3       
Vardas2811     Pavarde2811    2    10   4    8    4    2       
Vardas2812     Pavarde2812    7    5    6    5    2    6       
Vardas2813     Pavarde2813    9    1    4    6    8    10      
Vardas2814     Pavarde2814    5    5    8    7    1    7       
Vardas2815     Pavarde2815    7    8    1    5    5    5       
Vardas2816     Pavarde2816    2    5    5    8    3    2       
Vardas2817     Pavarde2817    2    3    10   1    8    2       
Vardas2818     Pavarde2818    2    6    6    10   4    9       
Vardas2819     Pavarde2819    3    7    10   8    2    9       
Vardas2820     Pavarde2820    10   6    7    2    10   6       
Vardas2821     Pavarde2821    10   1    5    8    2    3       
Vardas2822     Pavarde2822    8    5    3    5    5    6       
Vardas2823     Pavarde2823    8    7    6    5    9    5       
Vardas2824     Pavarde2824    9    4    10   8    5    2       
Vardas2825     Pavarde2825    8    6    10   6    10   4       
Vardas2826     Pavarde2826    8    7    9    4    3    10      
Vardas2827     Pavarde2827    3    4    8    8    8    5       
Vardas2828     Pavarde2828    6    7    3    8    9    2       
Vardas2829     Pavarde2829    6    1    10   4    2    10      
Vardas2830     Pavarde2830    1    3    4    6    7    6       
Vardas2831     Pavarde2831    3    6    10   5    3    10      
Vardas2832     Pavarde2832    4    2    4    5    7    7       
Vardas2833     Pavarde2833    2    9    5    2    2    9       
Vardas2834     Pavarde2834    2    7    10   7    6    8       
Vardas2835     Pavarde2835    7    5    2    8    2    9       
Vardas2836     Pavarde2836    9    9    3    2    8    1       
Vardas2837     Pavarde2837    3    9    5    10   7    1       
Vardas2838     Pavarde2838    3    5    9    2    7    8       
Vardas2839     Pavarde2839    5    10   1    2    4    3       
Vardas2840     Pavarde2840    9    6    3    2    8    2       
Vardas2841     Pavarde2841    5    7    1    10   3    4       
Vardas2842     Pavarde2842    8    10   5    9    4    7       
Vardas2843     Pavarde2843    4    6    5    5    3    3       
Vardas2844     Pavarde2844    4    10   8    6    8    2       
Vardas2845     Pavarde2845    4    9    9    3    7    2       
Vardas2846     Pavarde2846    2    5    8    10   9    9       
Vardas2847     Pavarde2847    1    5    8    1    7    4       
Vardas2848     Pavarde2848    3    4    5    10   7    5       
Vardas2849     Pavarde2849    6    7    2    6    1    9       
Vardas2850     Pavarde2850    5    9    3    9    10   9       
Vardas2851     Pavarde2851    8    5    8    6    4    4       
Vardas2852     Pavarde2852    1    3    10   9    8    7       
Vardas2853     Pavarde2853    2    6    9    10   6    1       
Vardas2854     Pavarde2854    9    7    2    7    6    6       
Vardas2855     Pavarde2855    9    2    7    8    2    9       
Vardas2856     Pavarde2856    3    1    10   3    5    1       
Vardas2857     Pavarde2857    4    5    2    9    5    9       
Vardas2858     Pavarde2858    9    5    3    5    4    2       
Vardas2859     Pavarde2859    3    7    10   5    1    3       
Vardas2860     Pavarde2860    8    7    10   8    1    2       
Vardas2861     Pavarde2861    7    10   2    3    4    1       
Vardas2862     Pavarde2862    3    4    10   1    1    10      
Vardas2863     Pavarde2863    10   6    6    4    9    10      
Vardas2864     Pavarde2864    4    9    6    5    8    7       
Vardas2865     Pavarde2865    4    2    6    9    4    9       
Vardas2866     Pavarde2866    2    6    7    4    5    10      
Vardas2867     Pavarde2867    1    10   8    4    2    3       
Vardas2868     Pavarde2868    4    1    6    4    5    2       
Vardas2869     Pavarde2869    6    5    4    6    7    5       
Vardas2870     Pavarde2870    9    2    6    4    3    5       
Vardas2871     Pavarde2871    6    7    9    9    1    8       
Vardas2872     Pavarde2872    1    5    7    4    1    1       
Vardas2873     Pavarde2873    3    7    3    7    3    5       
Vardas2874     Pavarde2874    10   6    8    7    1    3       
Vardas2875     Pavarde2875    6    4    6    2    2    9       
Vardas2876     Pavarde2876    6    2    3    6    5    8       
Vardas2877     Pavarde2877    3    2    7    1    6    4       
Vardas2878     Pavarde2878    2    9    2    9    1    9       
Vardas2879     Pavarde2879    1    10   8    3    3    9       
Vardas2880     Pavarde2880    10   9    6    8    5    2       
Vardas2881     Pavarde2881    4    10   1    3    3    8       
Vardas2882     Pavarde2882    1    6    1    9    3    1       
Vardas2883     Pavarde2883    9    8    5    2    7    9       
Vardas2884     Pavarde2884    2    7    7    2    3    4       
Vardas2885     Pavarde2885    5    1    7    10   4    6       
Vardas2886     Pavarde2886    9    4    4    4    4    3       
Vardas2887     Pavarde2887    8    4    4    9    6    3       
Vardas2888     Pavarde2888    7    2    1    10   7    1       
Vardas2889     Pavarde2889    7    7    2    6    1    5       
Vardas2890     Pavarde2890    3    6    10   3    8    10      
Vardas2891     Pavarde2891    9    8    6    4    9    6       
Vardas2892     Pavarde2892    3    5    1    5    3    10      
Vardas2893     Pavarde2893    9    1    8    9    7    10      
Vardas2894     Pavarde2894    4    10   7    5    1    8       
Vardas2895     Pavarde2895    5    6    5    10   8    6       
Vardas2896     Pavarde2896    3    10   1    4    8    9       
Vardas2897     Pavarde2897    4    1    2    8    6    7       
Vardas2898     Pavarde2898    2    10   7    5    8    8       
Vardas2899     Pavarde2899    4    8    10   6    5    5       
Vardas2900     Pavarde2900    8    1    9    1    5    9       
Vardas2901     Pavarde2901    5    9    4    1    6    1       
Vardas2902     Pavarde2902    4    2    2    3    10   5       
Vardas2903     Pavarde2903    7    7    7    4    2    8       
Vardas2904     Pavarde2904    5    6    10   4    10   7       
Vardas2905     Pavarde2905    6    8    4    6    10   4       
Vardas2906     Pavarde2906    9    5    5    2    4    3       
Vardas2907     Pavarde2907    3    9    4    3    7    10      
Vardas2908     Pavarde2908    6    8    10   9    7    7       
Vardas2909     Pavarde2909    3    6    9    2    3    3       
Vardas2910     Pavarde2910    2    2    4    2    8    2       
Vardas2911     Pavarde2911    1    1    4    7    5    6       
Vardas2912     Pavarde2912    5    2    3    7    4    10      
Vardas2913     Pavarde2913    6    3    6    10   10   7       
Vardas2914     Pavarde2914    2    4    7    4    9    1       
Vardas2915     Pavarde2915    4    5    1    8    6    10      
Vardas2916     Pavarde2916    3    5    7    6    1    4       
Vardas2917     Pavarde2917    4    9    1    1    4    3       
Vardas2918     Pavarde2918    9    10   6    10   8    1       
Vardas2919     Pavarde2919    7    7    6    2    6    2       
Vardas2920     Pavarde2920    8    8    6    3    5    6       
Vardas2921     Pavarde2921    5    10   6    9    8    1       
Vardas2922     Pavarde2922    6    3    7    3    8    4       
Vardas2923     Pavarde2923    9    4    6    1    3    3       
Vardas2924     Pavarde2924    1    1    4    8    8    7       
Vardas2925     Pavarde2925    5    10   7    8    9    8       
Vardas2926     Pavarde2926    10   7    3    7    2    7       
Vardas2927     Pavarde2927    8    6    9    3    6    4       
Vardas2928     Pavarde2928    3    8    3    4    6    8       
Vardas2929     Pavarde2929    10   10   5    3    2    4       
Vardas2930     Pavarde2930    8    8    8    6    7    2       
Vardas2931     Pavarde2931    8    4    5    3    1    9       
Vardas2932     Pavarde2932    8    7    10   5    6    9       
Vardas2933     Pavarde2933    5    8    8    8    8    3       
Vardas2934     Pavarde2934    10   4    5    1    8    2       
Vardas2935     Pavarde2935    2    8    5    9    8    6       
Vardas2936     Pavarde2936    9    6    6    9    6    9       
Vardas2937     Pavarde2937    2    5    1    4    1    9       
Vardas2938     Pavarde2938    9    8    9    5    1    9       
Vardas2939     Pavarde2939    9    5    5    6    8    2       
Vardas2940     Pavarde2940    1    4    2    4    7    6       
Vardas2941     Pavarde2941    5    2    8    7    1    7       
Vardas2942     Pavarde2942    10   7    2    7    9    5       
Vardas2943     Pavarde2943    7    4    5    3    9    1       
Vardas2944     Pavarde2944    1    4    3    8    8    5       
Vardas2945     Pavarde2945    6    1    1    9    5    1       
Vardas2946     Pavarde2946    4    4    10   10   1    1       
Vardas2947     Pavarde2947    8    10   9    6    3    4       
Vardas2948     Pavarde2948    8    5    7    6    3    9       
Vardas2949     Pavarde2949    6    6    9    6    8    7       
Vardas2950     Pavarde2950    8    4    1    7    1    4       
Vardas2951     Pavarde2951    10   9    5    4    4    3       
Vardas2952     Pavarde2952    7    2    8    5    9    8       
Vardas2953     Pavarde2953    7    2    7    9    6    5       
Vardas2954     Pavarde2954    7    8    4    5    5    6       
Vardas2955     Pavarde2955    3    1    4    4    5    6       
Vardas2956     Pavarde2956    9    5    10   2    2    7       
Vardas2957     Pavarde2957    5    1    2    3    9    8       
Vardas2958     Pavarde2958    9    2    1    10   4    10      
Vardas2959     Pavarde2959    10   9    3    3    4    8       
Vardas2960     Pavarde2960    9    6    7    2    6    5       
Vardas2961     Pavarde2961    10   4    5    7    10   6       
Vardas2962     Pavarde2962    3    10   2    10   6    7       
Vardas2963     Pavarde2963    7    9    1    3    3    10      
Vardas2964     Pavarde2964    5    1    4    10   4    1       
Vardas2965     Pavarde2965    1    7    4    3    4    1       
Vardas2966     Pavarde2966    2    6    9    1    3    5       
Vardas2967     Pavarde2967    4    5    1    7    6    10      
Vardas2968     Pavarde2968    8    6    1    5    1    10      
Vardas2969     Pavarde2969    1    6    1    2    5    2       
Vardas2970     Pavarde2970    10   3    1    4    10   8       
Vardas2971     Pavarde2971    10   10   2    6    3    3       
Vardas2972     Pavarde2972    5    10   10   10   5    10      
Vardas2973     Pavarde2973    2    9    5    10   2    4       
Vardas2974     Pavarde2974    8    2    4    2    2    4       
Vardas2975     Pavarde2975    3    2    3    2    8    5       
Vardas2976     Pavarde2976    7    6    2    5    7    2       
Vardas2977     Pavarde2977    9    2    9    1    6    1       
Vardas2978     Pavarde2978    8    9    6    5    8    8       
Vardas2979     Pavarde2979    9    2    7    9    7    6       
Vardas2980     Pavarde2980    3    7    5    10   4    9       
Vardas2981     Pavarde2981    7    6    10   8    7    4       
Vardas2982     Pavarde2982    6    9    1    4    9    1       
Vardas2983     Pavarde2983    5    3    1    7    8    2       
Vardas2984     Pavarde2984    5    4    3    9    7    8       
Vardas2985     Pavarde2985    8    9    10   1    6    7       
Vardas2986     Pavarde2986    5    7    1    3    9    5       
Vardas2987     Pavarde2987    8    1    1    4    5    9       
Vardas2988     Pavarde2988    5    9    2    2    7    3       
Vardas2989     Pavarde2989    5    4    8    7    8    8       
Vardas2990     Pavarde2990    6    4    9    4    7    9       
Vardas2991     Pavarde2991    6    3    8    10   2    5       
Vardas2992     Pavarde2992    6    6    2    1    2    2       
Vardas2993     Pavarde2993    2    7    5    9    8    9       
Vardas2994     Pavarde2994    7    4    10   4    5    3       
Vardas2995     Pavarde2995    8    9    6    4    9    1       
Vardas2996     Pavarde2996    7    4    3    9    4    1       
Vardas2997     Pavarde2997    2    6    6    2    7    10      
Vardas2998     Pavarde2998    3    6    1    1    8    2       
Vardas2999     Pavarde2999    1    8    4    3    1    8       
Vardas3000     Pavarde3000    6    2    6    10   3    7       
Vardas3001     Pavarde3001    5    5    10   8    10   5       
Vardas3002     Pavarde3002    10   7    3    4    3    10      
Vardas3003     Pavarde3003    9    5    9    7    8    3       
Vardas3004     Pavarde3004    7    5    7    6    1    2       
Vardas3005     Pavarde3005    1    5    5    1    1    6       
Vardas3006     Pavarde3006    1    8    6    8    7    5       
Vardas3007     Pavarde3007    6    8    4    9    9    4       
Vardas3008     Pavarde3008    5    8    3    9    10   9       
Vardas3009     Pavarde3009    2    3    5    5    1    7       
Vardas3010     Pavarde3010    2    7    3    8    2    5       
Vardas3011     Pavarde3011    1    3    10   6    7    2       
Vardas3012     Pavarde3012    10   2    10   10   4    2       
Vardas3013     Pavarde3013    5    4    1    1    10   8       
Vardas3014     Pavarde3014    2    3    10   1    8    9       
Vardas3015     Pavarde3015    6    2    9    9    5    1       
Vardas3016     Pavarde3016    5    8    1    1    8    2       
Vardas3017     Pavarde3017    4    7    9    1    8    2       
Vardas3018     Pavarde3018    10   3    8    10   2    6       
Vardas3019     Pavarde3019    8    8    2    6    6    5       
Vardas3020     Pavarde3020    7    10   9    1    8    8       
Vardas3021     Pavarde3021    6    4    10   10   4    2       
Vardas3022     Pavarde3022    7    7    7    9    7    3       
Vardas3023     Pavarde3023    4    8    8    7    10   10      
Vardas3024     Pavarde3024    6    4    6    9    9    1       
Vardas3025     Pavarde3025    5    3    2    5    10   7       
Vardas3026     Pavarde3026    10   3    1    8    8    2       
Vardas3027     Pavarde3027    2    6    1    9    9    4       
Vardas3028     Pavarde3028    6    8    10   5    3    1       
Vardas3029     Pavarde3029    7    3    5    2    7    3       
Vardas3030     Pavarde3030    9    1    8    9    3    6       
Vardas3031     Pavarde3031    5    2    4    5    4    6       
Vardas3032     Pavarde3032    10   8    2    10   6    3       
Vardas3033     Pavarde3033    3    9    8    2    2    7       
Vardas3034     Pavarde3034    6    4    5    1    3    9       
Vardas3035     Pavarde3035    5    1    4    8    5    10      
Vardas3036     Pavarde3036    7    4    4    9    1    1       
Vardas3037     Pavarde3037    2    2    9    5    1    7       
Vardas3038     Pavarde3038    2    10   8    4    5    7       
Vardas3039     Pavarde3039    2    4    7    4    3    9       
Vardas3040     Pavarde3040    7    10   9    4    10   4       
Vardas3041     Pavarde3041    1    2    8    1    1    1       
Vardas3042     Pavarde3042    6    8    8    9    9    10      
